date,total_click,total_cart,total_fav,total_order,content_id_hashed
2025-06-25,1.0539656018683744e-05,1.916301094306135e-06,1.4372258207296016e-06,0.0,b5309e7c42e491fd
2025-06-24,1.916301094306135e-06,0.0,4.790752735765338e-07,0.0,51fa776192c2a4fd
2025-06-22,9.581505471530676e-07,0.0,4.790752735765338e-07,0.0,bf87b00e003591fd
2025-06-19,9.581505471530676e-07,0.0,0.0,0.0,1e3a1f72caec455e
2025-06-28,2.0600236763790955e-05,3.353526915035737e-06,4.311677462188805e-06,1.916301094306135e-06,0b42bfc20ee0d2b9
2025-07-04,4.311677462188805e-06,0.0,1.916301094306135e-06,0.0,474637d2e3c1a4d5
2025-07-09,3.83260218861227e-06,0.0,0.0,0.0,288946e71afc9fd7
2025-06-25,4.790752735765338e-07,0.0,0.0,0.0,22f1f596ffd89343
2025-07-06,6.754961357429127e-05,1.533040875444908e-05,9.581505471530677e-06,3.83260218861227e-06,870ed35026e923c5
2025-07-02,4.790752735765338e-07,0.0,0.0,0.0,22a33aadd8faff0f
2025-06-27,4.7907527357653384e-06,1.4372258207296016e-06,4.790752735765338e-07,0.0,d758ab27d4758007
2025-06-19,0.00010443840963968437,7.186129103648007e-06,1.6767634575178683e-05,9.581505471530676e-07,f2f65458522cab38
2025-06-22,1.4372258207296016e-06,0.0,9.581505471530676e-07,0.0,67635ae0648ef7f3
2025-06-10,2.395376367882669e-05,0.0,2.3953763678826692e-06,0.0,2aa9eeb339470688
2025-07-10,0.00015953206610098576,1.1976881839413346e-05,1.0060580745107211e-05,5.7489032829184065e-06,e80f498c7634fad4
2025-07-06,4.790752735765338e-07,0.0,0.0,0.0,906dfef6e300280f
2025-06-21,0.00016528096938390417,1.724670984875522e-05,2.2995613131673626e-05,4.311677462188805e-06,872d8db13e0125d1
2025-06-16,1.5809484028025618e-05,2.3953763678826692e-06,1.4372258207296016e-06,4.790752735765338e-07,aa23ce11f45b3744
2025-07-03,0.0,0.0,4.790752735765338e-07,0.0,296f785b5a0f0949
2025-06-26,4.790752735765338e-07,0.0,0.0,0.0,5ffd6c7a90227cff
2025-06-12,3.11398927824747e-05,2.3953763678826692e-06,3.353526915035737e-06,0.0,f786b6d710e13490
2025-06-14,1.4372258207296016e-06,0.0,0.0,0.0,a91508bd8c09c848
2025-06-12,9.581505471530676e-07,9.581505471530676e-07,4.790752735765338e-07,4.790752735765338e-07,eeedd8cb12f52bbb
2025-07-05,9.581505471530676e-07,0.0,4.790752735765338e-07,0.0,33cc316d85718642
2025-06-28,4.790752735765338e-07,0.0,0.0,0.0,13fe18f48a89ba73
2025-07-03,1.3414107660142947e-05,0.0,9.581505471530676e-07,0.0,1c527822b16a61d0
2025-06-14,5.269828009341872e-06,0.0,0.0,0.0,5e5375c978feba4f
2025-06-26,9.581505471530676e-07,0.0,0.0,0.0,f5ea0e5f199304e7
2025-06-13,4.311677462188805e-06,0.0,4.790752735765338e-07,0.0,0b610b2dcdb33507
2025-06-27,1.916301094306135e-06,4.790752735765338e-07,0.0,4.790752735765338e-07,f3eb1f16d8e91736
2025-07-11,2.1558387310944024e-05,2.3953763678826692e-06,9.581505471530676e-07,9.581505471530676e-07,c88c3234cb8fbc34
2025-06-26,4.790752735765338e-07,0.0,0.0,0.0,4e23fa839afdee24
2025-06-26,2.8744516414592032e-06,9.581505471530676e-07,4.790752735765338e-07,4.790752735765338e-07,72ca333adff080ea
2025-07-11,8.144279650801075e-06,4.790752735765338e-07,9.581505471530676e-07,0.0,f30b85aed0f5b187
2025-07-07,1.4372258207296016e-06,0.0,0.0,0.0,0757892b7d5ab9ce
2025-06-27,0.00013318292605427642,4.311677462188805e-06,1.6767634575178683e-05,4.790752735765338e-07,e49251c9090f40cf
2025-07-01,0.0006898683939502088,0.00010108488272464864,0.0001173734420262508,4.503307571619418e-05,e2adcb08b2e8ae56
2025-07-04,4.790752735765338e-07,0.0,0.0,0.0,b6e27d0b545994fe
2025-07-02,4.790752735765338e-07,0.0,0.0,0.0,ab0c538a4a9af8c1
2025-06-11,4.790752735765338e-07,0.0,0.0,0.0,f0ff1e545ea08192
2025-06-09,9.581505471530676e-07,0.0,0.0,0.0,9097e04ecb428d74
2025-06-26,1.4372258207296016e-06,0.0,0.0,0.0,f78040d125f518c3
2025-06-14,0.00012408049585632227,2.8744516414592032e-06,1.628855930160215e-05,4.790752735765338e-07,6e337b85ad173120
2025-07-09,3.83260218861227e-06,0.0,9.581505471530676e-07,0.0,bac3e634f593031d
2025-07-08,4.263769934831151e-05,2.3953763678826692e-06,3.353526915035737e-06,4.790752735765338e-07,accee5336ea92b07
2025-06-15,4.790752735765338e-07,0.0,0.0,0.0,8e0c0254cff6c9e0
2025-06-16,9.581505471530676e-07,0.0,0.0,0.0,13d92c2efc58a973
2025-06-23,9.581505471530676e-07,0.0,0.0,0.0,a425c37ec8f9272b
2025-07-05,8.62335492437761e-06,0.0,3.353526915035737e-06,0.0,e7b79ec7a363b3c0
2025-06-13,9.581505471530676e-07,4.790752735765338e-07,4.790752735765338e-07,0.0,dc15b824b498b07b
2025-06-09,3.11398927824747e-05,3.83260218861227e-06,4.311677462188805e-06,0.0,33772f0562477fdd
2025-06-18,4.790752735765338e-07,0.0,0.0,0.0,afbcaa642cc515bd
2025-06-27,1.4372258207296016e-06,4.790752735765338e-07,4.790752735765338e-07,4.790752735765338e-07,eeec046d783d9d10
2025-06-30,9.581505471530676e-07,0.0,0.0,0.0,9230fc665d97c187
2025-06-28,9.581505471530676e-07,4.790752735765338e-07,0.0,0.0,139c807ac5342585
2025-07-11,2.8744516414592032e-06,0.0,0.0,0.0,7f4a07cd576ed775
2025-07-01,1.628855930160215e-05,0.0,2.3953763678826692e-06,0.0,7f99c54f82e6942e
2025-06-28,2.0600236763790955e-05,0.0,3.353526915035737e-06,0.0,95ea3f85844f8eba
2025-06-17,3.83260218861227e-06,0.0,9.581505471530676e-07,0.0,d15a3f44e95a1abf
2025-07-07,2.8744516414592032e-06,0.0,0.0,0.0,42bace5357a8dbb6
2025-07-09,1.916301094306135e-06,0.0,0.0,0.0,14dc467287eb7618
2025-06-08,5.174012954626566e-05,9.581505471530676e-07,6.22797855649494e-06,0.0,f645b6540b7cfa43
2025-06-20,4.311677462188805e-06,0.0,0.0,0.0,03afaa1bf8059449
2025-07-07,6.707053830071474e-06,0.0,4.790752735765338e-07,0.0,2af4526a18e3327b
2025-06-12,0.0001671972704782103,9.581505471530677e-06,2.8265441141015496e-05,1.4372258207296016e-06,c1c2455d00379eb6
2025-07-04,2.8744516414592032e-06,0.0,4.790752735765338e-07,0.0,b73c1e46aba74451
2025-06-25,2.8744516414592032e-06,0.0,4.790752735765338e-07,0.0,33cccb3b924ee3fe
2025-07-08,5.7489032829184065e-06,0.0,4.790752735765338e-07,0.0,f20ec3bab4f960ab
2025-07-07,6.08425597442198e-05,6.22797855649494e-06,6.707053830071474e-06,1.916301094306135e-06,6325f8ed05e2e5fd
