date,search_term_normalized,total_search_impression,total_search_click,content_id_hashed
2025-07-06,ayakkabi_cocuk,9.581505471530676e-07,0.0,42a619ba94d31efc
2025-06-19,taki,4.647030153692378e-05,2.3953763678826692e-06,ccbb4acb3bf2971f
2025-07-03,kot_sort,5.7489032829184065e-06,9.581505471530676e-07,fcd603e3fb198e90
2025-06-21,cantasi_spor,5.0781978999112586e-05,9.581505471530676e-07,f511cbffdc74a8d3
2025-07-02,etek,6.707053830071474e-06,0.0,475e70d6f04cd24a
2025-07-08,ayakkabi_kadin_topuklu,0.00013318292605427642,2.8744516414592032e-06,f9bc387eabab7143
2025-06-20,giyim_tesettur,1.4372258207296016e-06,0.0,28a6b08474ea81d0
2025-06-13,ayakkabi_kadin_topuklu,5.269828009341872e-06,0.0,01a2adbe1c39cee6
2025-06-12,keten_pantolon,1.7725785122331752e-05,4.790752735765338e-07,b215e46d88f60ad5
2025-06-12,cocuk_kiz_sortlu_takim,7.66520437722454e-06,0.0,2dbc474cffb27714
2025-06-24,elbise_kadin,8.62335492437761e-06,0.0,330abe9a17ef25f9
2025-06-30,ayakkabi_erkek_gunluk,5.7489032829184065e-06,0.0,48547daa03fb5b82
2025-06-17,etek_uzun,2.1558387310944024e-05,1.4372258207296016e-06,ade6a504e57899b6
2025-06-17,tulum,4.7907527357653384e-06,0.0,f42b42bd3908f634
2025-06-29,kadin,4.503307571619418e-05,0.0,0bffb38dbfa3c9ab
2025-07-01,giyim,4.7907527357653384e-06,0.0,fff9e4ae260f9dbc
2025-07-09,sapka,9.581505471530676e-07,0.0,6e07aa0109c4ab74
2025-06-27,bikini_takimi,7.473574267793928e-05,2.3953763678826692e-06,00cb6cf23751fea7
2025-06-17,kazak,6.22797855649494e-06,0.0,c897a1031b1f2a9a
2025-06-29,alt_takim_tesettur_ust,4.790752735765338e-07,0.0,a8ec4e2653f48033
2025-06-13,bikini_takimi,1.7725785122331752e-05,0.0,fd81a3bc928da53b
2025-06-29,pijama,4.790752735765338e-07,0.0,0f284b57903ca6ef
2025-06-29,takim,9.581505471530676e-07,0.0,129b8356db3e66a6
2025-06-07,erkek_shirt_t,4.790752735765338e-07,0.0,4ceacc9bc8beb7fc
2025-07-09,elbise_sik,0.00014180628097865402,0.0,f44e18f62c024bbc
2025-07-08,elbise,9.581505471530677e-06,4.790752735765338e-07,42c83cdc347bb912
2025-06-22,jean_kadin,5.269828009341872e-06,0.0,967acfdc6a02a81c
2025-06-26,elbise_kadin,4.790752735765338e-07,0.0,49457b061d12edd1
2025-06-27,corap,4.790752735765338e-07,0.0,6e78c9a02c9b573b
2025-06-16,kadin_pantolon,0.00010252210854537824,2.8744516414592032e-06,df46af11dc0de215
2025-06-14,ayakkabi_pembe_topuklu,1.7725785122331752e-05,4.790752735765338e-07,523590ad0558664c
2025-06-23,cocuk_elbise_kiz,6.22797855649494e-06,0.0,71d3a9ac2af910e3
2025-06-13,hasir_sandalet,2.874451641459203e-05,0.0,7b81d7049d0b1f56
2025-06-16,gecelik,5.7968108102760594e-05,0.0,b232ea00b153adb7
2025-06-20,deniz_erkek_sortu,2.9702666961745098e-05,9.581505471530676e-07,3cebd7a473787985
2025-07-10,pantolon,4.790752735765338e-07,0.0,57bfec965f39b008
2025-06-24,abiye_elbise_kadin,4.790752735765338e-07,0.0,b27fce0abf55b144
2025-06-12,elbise_turuncu,1.916301094306135e-06,0.0,daf5aa9bf5a02d37
2025-06-07,abiye,0.00034349697115437474,7.186129103648007e-06,d4daa1692dd00247
2025-06-24,gecelik_kadin,0.00012647587222420494,5.7489032829184065e-06,c744092a552f8e0b
2025-06-27,elbise,3.83260218861227e-06,4.790752735765338e-07,f099a1780bb08538
2025-06-25,gomlek_sari,0.00011593621620552119,2.3953763678826692e-06,22527a3109fd40aa
2025-07-07,terlik,2.2995613131673626e-05,4.790752735765338e-07,4a4406179dd120bb
2025-06-08,corap_erkek,8.719169979092916e-05,3.83260218861227e-06,435c5d1bacbe52b5
2025-06-15,alt_kadin_takim_tesettur_ust,9.581505471530676e-07,0.0,06d54e5ce8938eda
2025-06-10,elbise,1.1976881839413346e-05,0.0,f18b4ccd534e09f2
2025-07-02,elbise_kare_yaka,1.4372258207296014e-05,0.0,c2186664d05cbbf6
2025-06-25,elbisesi_hamile,7.186129103648008e-05,1.4372258207296016e-06,b89fb1748e87cdb2
2025-06-27,beyaz_elbise_uzun,7.569389322509234e-05,1.916301094306135e-06,ccf23048fb6857d1
